Open time,Open,Close,Volume,CHG,stocRSI,MACD
2022-06-24,21110.12,21237.69,77430.36622,0.6,29.96,-52.8
2022-06-25,21237.68,21491.19,51431.67794,1.19,50.84,86.13
2022-06-26,21491.18,21038.07,53278.10464,-2.11,100.0,163.23
2022-06-27,21038.08,20742.56,64475.0013,-1.4,100.0,207.23
2022-06-28,20742.57,20281.29,63801.0832,-2.22,98.24,217.12
2022-06-29,20281.28,20123.01,77309.04379,-0.78,84.8,223.96
2022-06-30,20123.0,19942.21,93846.64806,-0.9,100.0,226.57
2022-07-01,19942.21,19279.8,111844.59494,-3.32,86.49,195.15
2022-07-02,19279.8,19252.81,46180.3021,-0.14,100.0,184.16
2022-07-03,19252.82,19315.83,51087.46631,0.33,58.94,191.86
2022-07-04,19315.83,20236.71,74814.04601,4.77,85.79,265.19
2022-07-05,20236.71,20175.83,96041.13756,-0.3,80.42,312.55
2022-07-06,20175.84,20564.51,82439.5808,1.93,100.0,369.13
2022-07-07,20564.51,21624.98,85014.58261,5.16,98.32,470.56
2022-07-08,21624.99,21594.75,403081.57349,-0.14,93.19,524.09
2022-07-09,21594.75,21591.83,178417.84468,-0.01,83.12,545.35
2022-07-10,21592.15,20862.47,192188.21556,-3.38,61.68,497.66
2022-07-11,20861.11,19963.61,137535.40724,-4.3,34.64,397.31
2022-07-12,19963.61,19328.75,139506.45862,-3.18,27.9,285.16
2022-07-13,19331.28,20234.87,209250.24888,4.67,75.14,269.17
2022-07-14,20234.87,20588.84,174809.21696,1.75,95.93,278.45
2022-07-15,20588.84,20830.04,143343.3049,1.17,100.0,295.24
2022-07-16,20830.04,21195.6,121011.67393,1.75,100.0,323.14
2022-07-17,21195.6,20798.16,118229.4525,-1.88,82.48,307.09
2022-07-18,20799.58,22432.58,239942.73132,7.85,98.5,393.32
2022-07-19,22432.58,23396.62,263770.76574,4.3,100.0,495.45
2022-07-20,23398.48,23223.3,238762.17094,-0.75,89.34,528.48
2022-07-21,23223.3,23152.19,184817.68191,-0.31,68.79,521.78
2022-07-22,23152.19,22684.83,171598.43966,-2.02,56.29,464.06
2022-07-23,22684.83,22451.07,122137.77375,-1.03,50.23,391.24
2022-07-24,22448.58,22579.68,115189.67277,0.58,73.17,335.0
2022-07-25,22577.13,21310.9,180344.76643,-5.61,62.38,202.17
