Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-29 22:45:00,6608.5,6617.99,6603.16,6606.54,257.945665,2018-09-29 22:59:59.999,1704996.71289607,1188,100.669786,665514.68885466,0,0.0,1.0,-1.0
2018-09-29 23:00:00,6609.4,6636.0,6606.58,6627.85,435.070467,2018-09-29 23:14:59.999,2881643.81957814,2117,235.648365,1561345.89249928,0,0.0,1.0,-1.0
2018-09-29 23:15:00,6626.74,6629.13,6579.47,6597.94,418.691035,2018-09-29 23:29:59.999,2767004.45747181,1659,232.326834,1536363.42507861,0,0.0,1.0,-1.0
2018-09-29 23:30:00,6597.94,6610.08,6589.49,6591.99,424.46129,2018-09-29 23:44:59.999,2801334.88985993,1209,304.424864,2009069.19660097,0,-1.0,1.0,-1.0
2018-09-29 23:45:00,6594.29,6605.28,6592.22,6596.38,137.518443,2018-09-29 23:59:59.999,907336.32556604,1145,99.651691,657465.86490657,0,0.0,1.0,-1.0
2018-09-30 00:00:00,6597.66,6597.66,6557.7,6577.01,395.005435,2018-09-30 00:14:59.999,2598687.58501795,2106,189.412122,1246535.17178348,0,0.0,-1.0,-1.0
2018-09-30 00:15:00,6577.01,6588.35,6564.09,6574.01,124.726832,2018-09-30 00:29:59.999,819895.53507489,1294,77.333537,508379.01978069,0,0.0,-1.0,-1.0
2018-09-30 00:30:00,6574.84,6583.49,6565.42,6580.2,160.899157,2018-09-30 00:44:59.999,1057791.19811066,1405,89.916467,591178.08254122,0,0.0,-1.0,-1.0
2018-09-30 00:45:00,6580.2,6581.54,6570.42,6577.3,174.318925,2018-09-30 00:59:59.999,1146528.34344356,849,98.106915,645287.97910143,0,0.0,-1.0,-1.0
2018-09-30 01:00:00,6577.31,6580.0,6570.2,6579.0,188.981487,2018-09-30 01:14:59.999,1242572.18555326,1379,96.648658,635516.71250488,0,0.0,-1.0,-1.0
2018-09-30 01:15:00,6579.0,6604.25,6578.12,6595.13,102.63227,2018-09-30 01:29:59.999,676370.60588081,1070,60.466088,398618.48725797,0,0.0,1.0,-1.0
2018-09-30 01:30:00,6595.13,6607.43,6590.66,6593.24,121.798192,2018-09-30 01:44:59.999,803795.94200603,1089,77.747442,513119.4276195,0,1.0,1.0,-1.0
